Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]
5157	100	100	1020	225
5167	100	100	1020	225
5177	100	100	1020	225
5207	250	250	1024	237
5217	250	250	1024	237
5227	250	250	1024	237
5237	250	250	1024	237
5247	250	250	1024	237
5257	250	250	1024	237
5267	250	250	1024	237
5277	250	250	1024	237
5287	250	250	1024	237
5297	250	250	1024	237
5307	250	250	1024	237
5317	250	250	1024	237
5327	250	250	1024	237
5337	250	250	1024	237
5347	250	250	1024	237
5357	250	250	1024	237
5367	250	250	1024	237
5377	250	250	1024	237
5387	250	250	1024	237
5397	250	250	1024	237
5407	250	250	1024	237
5417	250	250	1024	237
5427	250	250	1024	237
5437	250	250	1024	237
5447	250	250	1024	237
5587	740	740	968	191
5597	740	740	968	191
5607	740	740	968	191
5617	740	740	968	191
5627	740	740	968	191
5637	740	740	968	191
5647	740	740	968	191
5657	740	740	968	191
5667	740	740	968	191
5677	740	740	968	191
5687	740	740	968	191
5697	740	740	968	191
5707	740	740	968	191
5717	740	740	968	191
5727	740	740	968	191
5737	740	740	968	191
5747	740	740	968	191
5757	740	740	968	191
5767	740	740	968	191
5777	740	740	968	191
5787	740	740	968	191
5797	740	740	968	191
5807	740	740	968	191
5817	740	740	968	191
5827	740	740	968	191
5837	740	740	968	191
5847	740	740	968	191
5857	740	740	968	191
5867	740	740	968	191
5877	740	740	968	191
5887	740	740	968	191
5897	740	740	968	191
5907	740	740	968	191
5917	740	740	968	191
5927	740	740	968	191
5937	740	740	968	191
5947	740	740	968	191
5957	740	740	968	191
5967	740	740	968	191
5977	740	740	968	191
5986	740	740	968	191
5996	740	740	968	191
6006	740	740	968	191
6016	740	740	968	191
6026	740	740	968	191
6036	740	740	968	191
6046	740	740	968	191
6056	740	740	968	191
6066	740	740	968	191
6076	740	740	968	191
6086	740	740	968	191
6096	740	740	968	191
6106	740	740	968	191
6116	740	740	968	191
6126	740	740	968	191
6136	740	740	968	191
6146	740	740	968	191
6156	740	740	968	191
6166	740	740	968	191
6176	740	740	968	191
6186	740	740	968	191
6196	740	740	968	191
6206	740	740	968	191
6216	740	740	968	191
6226	740	740	968	191
6236	740	740	968	191
6246	740	740	968	191
6256	740	740	968	191
6266	740	740	968	191
6276	740	740	968	191
6286	740	740	968	191
6296	740	740	968	191
6306	740	740	968	191
6316	740	740	968	191
6396	190	190	969	271
6406	190	190	969	271
6416	190	190	969	271
6426	190	190	969	271
6436	190	190	969	271
6446	190	190	969	271
6456	190	190	969	271
6466	190	190	969	271
6476	190	190	969	271
6486	190	190	969	271
6496	190	190	969	271
6506	190	190	969	271
6516	190	190	969	271
6526	190	190	969	271
6536	190	190	969	271
6546	190	190	969	271
6556	190	190	969	271
6566	190	190	969	271
6576	190	190	969	271
6606	270	270	970	261
6616	270	270	970	261
6626	270	270	970	261
6636	270	270	970	261
6646	270	270	970	261
6656	270	270	970	261
6666	270	270	970	261
6676	270	270	970	261
6686	270	270	970	261
6696	270	270	970	261
6706	270	270	970	261
6716	270	270	970	261
6726	270	270	970	261
6736	270	270	970	261
6746	270	270	970	261
6756	270	270	970	261
6766	270	270	970	261
6776	270	270	970	261
6786	270	270	970	261
6796	270	270	970	261
6806	270	270	970	261
6816	270	270	970	261
6826	270	270	970	261
6836	270	270	970	261
6846	270	270	970	261
6856	270	270	970	261
6866	270	270	970	261
7026	210	210	1000	343
7036	210	210	1000	343
7046	210	210	1000	343
7056	210	210	1000	343
7066	210	210	1000	343
7076	210	210	1000	343
7086	210	210	1000	343
7096	210	210	1000	343
7106	210	210	1000	343
7116	210	210	1000	343
7126	210	210	1000	343
7136	210	210	1000	343
7146	210	210	1000	343
7156	210	210	1000	343
7166	210	210	1000	343
7176	210	210	1000	343
7186	210	210	1000	343
7196	210	210	1000	343
7206	210	210	1000	343
7216	210	210	1000	343
7226	210	210	1000	343
7256	240	240	966	375
7266	240	240	966	375
7276	240	240	966	375
7286	240	240	966	375
7296	240	240	966	375
7306	240	240	966	375
7316	240	240	966	375
7326	240	240	966	375
7336	240	240	966	375
7346	240	240	966	375
7356	240	240	966	375
7366	240	240	966	375
7376	240	240	966	375
7386	240	240	966	375
7396	240	240	966	375
7406	240	240	966	375
7416	240	240	966	375
7426	240	240	966	375
7436	240	240	966	375
7446	240	240	966	375
7456	240	240	966	375
7466	240	240	966	375
7476	240	240	966	375
7486	240	240	966	375
7536	280	280	956	398
7546	280	280	956	398
7556	280	280	956	398
7566	280	280	956	398
7576	280	280	956	398
7586	280	280	956	398
7596	280	280	956	398
7606	280	280	956	398
7616	280	280	956	398
7626	280	280	956	398
7636	280	280	956	398
7646	280	280	956	398
7656	280	280	956	398
7666	280	280	956	398
7676	280	280	956	398
7686	280	280	956	398
7696	280	280	956	398
7705	280	280	956	398
7715	280	280	956	398
7725	280	280	956	398
7735	280	280	956	398
7745	280	280	956	398
7755	280	280	956	398
7765	280	280	956	398
7775	280	280	956	398
7785	280	280	956	398
7795	280	280	956	398
7805	280	280	956	398
7835	220	220	969	411
7845	220	220	969	411
7855	220	220	969	411
7865	220	220	969	411
7875	220	220	969	411
7885	220	220	969	411
7895	220	220	969	411
7905	220	220	969	411
7915	220	220	969	411
7925	220	220	969	411
7935	220	220	969	411
7945	220	220	969	411
7955	220	220	969	411
7965	220	220	969	411
7975	220	220	969	411
7985	220	220	969	411
7995	220	220	969	411
8005	220	220	969	411
8015	220	220	969	411
8025	220	220	969	411
8035	220	220	969	411
8045	220	220	969	411
8205	430	430	996	402
8215	430	430	996	402
8225	430	430	996	402
8235	430	430	996	402
8245	430	430	996	402
8255	430	430	996	402
8265	430	430	996	402
8275	430	430	996	402
8285	430	430	996	402
8295	430	430	996	402
8305	430	430	996	402
8315	430	430	996	402
8325	430	430	996	402
8335	430	430	996	402
8345	430	430	996	402
8355	430	430	996	402
8365	430	430	996	402
8375	430	430	996	402
8385	430	430	996	402
8395	430	430	996	402
