start_time	end_time	label
134.351	134.601	BG
134.621	134.881	BG
134.901	135.371	BG
135.401	135.521	BG
135.551	135.991	BG
136.01	136.1	BG
136.16	136.34	BG
136.5	136.73	BG
136.86	138.249	BG
138.439	138.649	BG
138.739	138.869	BG
139.039	139.549	BG
139.578	139.768	BG
139.848	140.008	BG
140.058	140.438	BG
140.458	141.088	BG
141.117	141.397	BG
141.447	141.767	BG
141.787	141.907	BG
142.067	142.387	BG
142.437	144.356	BG
144.515	144.615	BG
144.655	144.815	BG
144.835	145.195	BG
145.225	145.865	module
145.905	146.974	module
147.034	147.244	module
147.304	148.104	BG
148.143	148.223	module
148.243	148.783	module
148.963	149.313	BG
149.373	149.563	BG
149.582	150.751	BG
150.932	151.212	BG
151.262	151.432	BG
151.481	151.841	module
151.891	152.191	BG
152.221	153.14	BG
153.32	153.59	BG
153.62	153.95	BG
154.12	154.62	BG
154.64	155.17	BG
155.219	156.628	BG
156.688	157.488	BG
157.508	157.758	BG
157.778	157.888	BG
157.928	158.108	BG
158.127	158.547	BG
158.707	158.887	BG
158.907	159.097	BG
159.187	159.537	BG
159.657	159.837	BG
159.876	160.156	BG
160.226	160.326	BG
160.476	160.586	BG
160.596	160.686	BG
160.746	160.986	BG
161.006	161.096	BG
161.176	161.616	BG
161.635	162.255	BG
162.385	162.555	BG
162.955	163.355	BG
163.374	163.464	BG
163.504	163.584	BG
163.674	163.794	BG
163.824	164.124	BG
164.194	164.404	BG
164.434	164.534	BG
164.554	164.804	BG
164.834	165.024	BG
165.073	165.243	BG
165.313	165.453	BG
165.593	165.663	BG
165.703	165.923	BG
165.993	166.163	BG
166.493	166.673	BG
166.692	166.802	BG
166.822	167.182	BG
167.222	167.432	BG
167.562	168.072	BG
168.092	168.202	BG
168.222	168.562	BG
168.571	168.731	BG
168.861	169.051	BG
169.091	169.171	BG
169.191	169.981	BG
170.21	170.39	BG
170.49	170.86	BG
171.47	171.55	module
172.179	172.269	module
172.289	172.369	BG
172.389	172.519	BG
172.539	172.609	module
172.719	172.969	module
173.139	173.229	BG
173.359	173.429	BG
173.438	173.908	BG
173.928	174.088	module
174.108	174.238	module
174.258	174.448	module
174.688	174.808	module
174.828	175.058	BG
175.078	175.148	BG
175.507	175.597	BG
175.777	176.017	BG
176.037	176.147	BG
176.187	176.277	BG
176.527	176.727	module
176.747	176.987	module
177.046	177.566	module
177.586	177.736	module
177.766	178.256	BG
178.276	178.496	BG
178.526	178.706	module
178.725	178.935	BG
179.475	179.615	module
179.685	179.785	module
179.805	179.915	module
179.935	180.844	module
180.904	181.254	module
181.284	181.474	module
181.494	181.904	module
181.924	182.114	BG
182.203	182.603	BG
182.763	183.393	module
183.473	183.983	module
184.142	185.361	module
185.401	185.601	BG
185.691	186.201	module
186.721	186.801	BG
186.821	186.941	BG
186.961	187.141	BG
187.38	187.78	module
187.82	188.06	module
188.21	188.34	module
188.36	188.55	module
188.65	188.73	BG
189.169	189.459	BG
189.889	189.989	module
190.009	190.139	module
190.189	190.549	module
190.568	190.668	module
190.688	191.877	module
192.008	192.438	BG
192.457	192.617	BG
192.727	192.847	module
192.927	193.157	module
193.237	193.487	module
193.617	193.687	module
193.727	193.847	module
193.886	194.156	module
194.176	194.266	module
194.286	194.416	BG
194.596	194.706	module
194.726	194.856	BG
195.296	195.536	module
195.556	195.636	module
195.725	195.905	module
196.605	196.705	BG
196.765	196.835	BG
196.855	197.165	BG
197.175	197.245	BG
197.524	198.064	tool
198.524	198.624	BG
198.974	199.174	BG
199.453	199.583	tool
199.603	200.013	BG
200.133	200.493	BG
200.752	201.142	BG
202.551	202.641	BG
202.661	203.021	module
203.051	203.181	BG
203.281	203.611	module
203.641	203.831	BG
203.881	204.091	module
204.131	204.651	module
204.67	204.93	module
205.09	205.19	module
205.21	206.579	module
206.649	206.809	BG
207.319	208.248	BG
208.268	208.368	BG
208.408	208.588	BG
208.858	209.108	module
209.247	209.487	module
209.507	209.637	module
209.707	209.777	module
209.817	209.917	BG
209.967	210.057	module
210.247	210.317	module
210.337	210.637	module
211.456	211.896	BG
211.996	212.096	BG
212.456	212.646	BG
212.685	212.825	BG
212.875	212.955	BG
213.135	213.405	BG
213.415	213.505	BG
213.525	213.665	BG
213.825	214.005	BG
214.135	214.485	BG
214.504	214.594	BG
214.864	214.984	BG
215.194	215.284	BG
215.474	215.714	BG
215.754	215.834	BG
215.884	215.954	BG
216.053	216.403	BG
216.533	216.613	BG
216.703	216.953	BG
217.023	217.813	BG
217.992	218.432	BG
218.592	219.362	BG
220.061	220.141	module
220.161	220.381	module
220.421	220.791	module
220.881	221.101	module
222.06	222.41	BG
222.54	222.86	BG
222.969	223.199	BG
223.219	223.389	BG
223.409	223.539	BG
224.529	224.699	module
224.758	224.908	module
224.958	225.338	module
225.358	225.608	BG
225.938	226.218	module
226.257	226.337	BG
226.377	226.617	BG
226.657	227.407	BG
227.487	227.567	BG
227.677	227.857	BG
227.937	228.177	tool
228.386	228.456	tool
228.706	228.786	BG
229.875	229.945	BG
230.175	230.305	BG
230.535	230.615	BG
230.625	230.765	BG
230.925	231.105	BG
231.344	231.424	BG
231.474	231.974	BG
232.024	232.344	BG
232.404	232.474	BG
232.484	232.564	BG
232.744	233.204	BG
233.453	233.603	BG
233.703	233.773	BG
234.083	234.253	tool
234.313	234.383	BG
234.882	235.152	BG
235.502	235.612	BG
235.662	235.822	BG
235.842	235.932	module
235.992	236.102	module
236.412	236.562	module
236.671	236.791	module
236.811	236.941	module
236.961	237.561	BG
237.671	237.821	module
238.34	238.41	module
238.47	238.63	module
238.67	238.89	module
238.91	239.15	module
239.23	239.55	module
239.56	239.7	module
239.949	240.079	module
240.119	240.279	module
240.749	240.819	BG
241.708	242.488	BG
242.558	242.638	BG
242.658	242.898	BG
242.938	243.048	BG
243.088	243.448	BG
243.557	243.887	BG
243.947	244.037	BG
244.077	244.157	BG
244.227	244.827	BG
245.286	245.366	BG
246.246	246.336	BG
246.376	246.456	BG
246.536	246.646	module
246.905	246.995	module
247.125	247.435	module
247.525	247.735	module
247.755	248.015	BG
